title,abstract,doi,label
Ecosystem Trophic Structure And Fishing Effort Simulations Of A Major Fishing Ground In The Northeastern Mediterranean Sea (Thermaikos Gulf),"Ecosystem modelling constitutes a useful tool for the ecosystem approach to fisheries management, which demands a shift to more complex models that include multi-species trophic interactions, environmental and anthropogenic forcing. the thermaikos gulf is a shallow gulf in the northwestern aegean sea (greece) and one of the major fishing grounds of the northeastern mediterranean concentrating high fishing effort of trawlers and purse-seiners and producing more than 20% of the total greek catches. in the present work, we developed an ecopath base model and ran ecosim simulations for 26 years (2000-2025), including the calibration period (2000-2016), aiming to describe the food web structure and function of the thermaikos gulf, identify main components and interactions among the 33 functional groups, assess the ecosystem impacts of fishing over time, and compare ecosystem properties with other mediterranean areas. overall ecosystem degradation with biomass and catch decline was observed at the end of the calibration period due to the impact of environmental factors and fishing activities. the ecosystem seemed to stabilize in an intermediate state by the end of the projection years, but with an overall biomass and catch decline. fishing effort reduction after 2016 resulted in higher biomass and catches compared to 2014-2015, that could not however reach the 2000 levels in most cases. the examined fishing effort reduction scenarios clearly showed that the more the fishing effort is reduced, the higher the biomass in the ecosystem and the lower the catches obtained compared to the baseline scenario. in a nutshell, since environmental drivers may be harder to predict or control, lowering the exploitation levels is an important step towards the rebuilding of overfished marine resources and more resilient ecosystems.",10.1016/j.ecss.2021.107667,1
Demonstration Of A Fully-Coupled End-To-End Model For Small Pelagic Fish Using Sardine And Anchovy In The California Current,"We describe and document an end-to-end model of anchovy and sardine population dynamics in the california current as a proof of principle that such coupled models can be developed and implemented. the end-to-end model is 3-dimensional, time-varying, and multispecies, and consists of four coupled sub-models: hydrodynamics, eulerian nutrient-phytoplankton-zooplankton (npz), an individual-based full life cycle anchovy and sardine submodel, and an agent-based fishing fleet submodel. a predator roughly mimicking albacore was included as individuals that consumed anchovy and sardine. all submodels were coded within the roms open-source community model, and used the same resolution spatial grid and were all solved simultaneously to allow for possible feedbacks among the submodels. we used a super-individual approach and solved the coupled models on a distributed memory parallel computer, both of which created challenging but resolvable bookkeeping challenges. the anchovy and sardine growth, mortality, reproduction, and movement, and the fishing fleet submodel, were each calibrated using simplified grids before being inserted into the full end-to-end model. an historical simulation of 1959-2008 was performed, and the latter 45 years analyzed. sea surface height (ssh) and sea surface temperature (sst) for the historical simulation showed strong horizontal gradients and multi-year scale temporal oscillations related to various climate indices (pdo, npgo), and both showed responses to enso variability. simulated total phytoplankton was lower during strong el nino events and higher for the strong 1999 la nina event. the three zooplankton groups generally corresponded to the spatial and temporal variation in simulated total phytoplankton. simulated biomasses of anchovy and sardine were within the historical range of observed biomasses but predicted biomasses showed much less inter-annual variation. anomalies of annual biomasses of anchovy and sardine showed a switch in the mid-1990s from anchovy to sardine dominance. simulated averaged weights- and lengths-at-age did not vary much across decades, and movement patterns showed anchovy located close to the coast while sardine were more dispersed and farther offshore. albacore predation on anchovy and sardine was concentrated near the coast in two pockets near the monterey bay area and equatorward of cape mendocino. predation mortality from fishing boats was concentrated where sardine age-1 and older individuals were located close to one of the five ports. we demonstrated that it is feasible to perform multi-decadal simulations of a fully-coupled end-to-end model, and that this can be done for a model that follows individual fish and boats on the same 3-dimensional grid as the hydrodynamics. our focus here was on proof of principle and our results showed that we solved the major technical, bookkeeping, and computational issues. we discuss the next steps to increase computational speed and to include important biological differences between anchovy and sardine. in a companion paper (fiechter et al., 2015), we further analyze the historical simulation in the context of the various hypotheses that have been proposed to explain the sardine and anchovy cycles. (c) 2015 elsevier ltd. all rights reserved.",10.1016/j.pocean.2015.01.012,1
Invasibes: Understanding And Managing The Impacts Of Invasive Alien Species On Biodiversity And Ecosystem Services,"Invasive alien species (ias) are amongst the most significant drivers of species extinction and ecosystem degradation, causing negative impacts on ecosystem services and human well-being. invasibes, a project funded by biodiversa-belmont forum for 2019-2021, will use data and models across scales, habitats and species to understand and anticipate the multi-faceted impacts of ias and to provide tools for their management. using alien species narratives as reference, we will design future intervention scenarios focused on prevention, control and eradication of ias in europe and the united states, through a participatory process bringing together the expertise of scientists and stakeholders. we will also adapt current impact assessment protocols to assess both the detrimental and beneficial impacts of ias on biodiversity and ecosystem services. this information will then be combined with maps of the potential distribution of invasive species of interest in europe under current and future climate-change scenarios. likewise, we will anticipate areas under risk of invasion by range-shifting plants of concern in the us. finally, focusing on three local-scale studies that cover a range of habitats (freshwater, terrestrial and marine), invasive species (plants and animals) and ecosystem services (supporting, provisioning, regulating and cultural), we will use empirical field data to quantify the real-world impacts of ias on biodiversity and ecosystem services and calculate indicators of ecosystem recovery after the invader is removed. spatial planning tools (invest) will be used to evaluate the costs and benefits of species-specific intervention scenarios at the regional scale. data, models and maps, developed throughout the project, will serve to build scenarios and models of biodiversity and ecosystem services that are relevant to underpin management of ias at multiple scales.",10.3897/neobiota.50.35466,1
Towards 'Ecological Coherence': Assessing Larval Dispersal Within A Network Of Existing Marine Protected Areas,"The convention on biological diversity mandates the establishment of marine protected area (mpa) networks worldwide, with recommendations stating the importance of 'ecological coherence,' a responsibility to support and perpetuate the existing ecosystem, implying the need to sustain population connectivity. while recommendations exist for integrating connectivity data into mpa planning, little advice exists on how to assess the connectivity of existing networks. this study makes use of recently observed larval characteristics and freely available models to demonstrate how such an assessment could be undertaken. the cold water coral (cwc) lophelia pertusa (linnaeus, 1758) is used as a model species, as much of the ne atlantic mpa network has been designated for cwc reef protection, but the ecological coherence of the network has yet to be assessed. simulations are run for different behavioural null models allowing a comparison of 'passive' (current driven) and 'active' (currents + vertical migration) dispersal, while an average prediction is used for mpa assessment. this model suggests that the network may support widespread larval exchange and has good local retention rates but still has room for improvement. the best performing mpas were large and central to the network facilitating transport across local dispersal barriers. on average, passive and active dispersal simulations gave statistically similar results, providing encouragement to future local dispersal assessments where active characteristics are unknown.",10.1016/j.dsr.2017.06.004,1
Triple Bottom Line Assessment For The Historically Underperforming Colombian Queen Conch Fishery,"The rebuilding of a collapsed fishery is a daunting management challenge as multi-faceted evaluations are required to assess the current and potential performance of the fishery system. single-dimension analyses such as stock abundance assessments are only partially effective in determining the best course of action in this type of scenarios. this study relied on the fishery performance indicators (fpis) - a rapid assessment tool for measuring economic, social and ecological outcomes from fishery management systems - to analyze performance and rebuilding challenges for the colombian queen conch (aliger gigas) fishery. the ecological and economic indicators clearly revealed an underperforming fishery, even when compared to other fisheries from developing countries. however, higher scores were achieved in the community (social) indicators, reflecting the socioeconomic and cultural importance of the fishery even when operating at a subsistence level. in addition to ecological considerations, managerial and economic factors play an important role in the rebuilding of the resource. bioeconomic modeling of the fishery is strongly recommended to contribute useful economic advice to the policy-making process, which has been traditionally guided by biological considerations such as maximization of sustainable yield.",10.1016/j.marpol.2020.104257,0
Accounting For Spatial Scale And Temporal Variation In Fish-Habitat Analyses Using Baited Remote Underwater Video Stations (Bruvs),"With the implementation of marine spatial planning in many coastal regions of the world, there is a need to understand how marine species and communities respond to environmental heterogeneity. predictive modelling approaches are one efficient method for associating marine communities with variations across the seascape. these approaches, along with increasing access to spatially explicit environmental data, provide improved opportunities for modelling fish assemblages. baited remote underwater video stations (bruvs) are a popular means of gathering fish assemblage data in the coastal zone, but have biases in bait attraction, trophic groups sampled, and behavioral conditions. to account for these biases, spatial and temporal scales of analyses must be considered. in this study, we combined time-series bruvs observations with seafloor and oceanographic variables in generalized additive models to model patterns of relative species richness and abundance in temperate coastal fish assemblages across multiple habitat types, functional trophic groups, and spatial scales from 5-500 m. we show that the spatial and temporal scale of analyses and behavioral characteristics of target species (such as mobility) are important considerations when predicting the spatial distribution of a particular assemblage or functional subset. the resulting models performed well, with prediction accuracies up to 79% while explaining between 24 and 83 % of variance. these models were then used to extrapolate assemblage characteristics over broader areas of the seafloor to expand our understanding of fish distributions, providing valuable insights for marine spatial planning, including marine protected area assessment.",10.3354/meps13292,1
Climate Change Alterations To Ecosystem Dominance: How Might Sponge-Dominated Reefs Function?,"Anthropogenic stressors are impacting ecological systems across the world. of particular concern are the recent rapid changes occurring in coral reef systems. with ongoing degradation from both local and global stressors, future reefs are likely to function differently from current coral-dominated ecosystems. determining key attributes of future reef states is critical to reliably predict outcomes for ecosystem service provision. here we explore the impacts of changing sponge dominance on coral reefs. qualitative modelling of reef futures suggests that changing sponge dominance due to increased sponge abundance will have different outcomes for other trophic levels compared with increased sponge dominance as a result of declining coral abundance. by exploring uncertainty in the model outcomes we identify the need to (1) quantify changes in carbon flow through sponges, (2) determine the importance of food limitation for sponges, (3) assess the ubiquity of the recently described sponge loop, (4) determine the competitive relationships between sponges and other benthic taxa, particularly algae, and (5) understand how changing dominance of other organisms alters trophic pathways and energy flows through ecosystems. addressing these knowledge gaps will facilitate development of more complex models that assess functional attributes of sponge-dominated reef ecosystems.",10.1002/ecy.2446,0
Predicting Bycatch Hotspots Based On Suitable Habitat Derived From Fishery-Independent Data,"Bycatch remains a global problem in managing sustainable fisheries. a critical aspect of management is understanding the timing and spatial extent of bycatch. fisheries management often relies on observed bycatch data, which are not always available due to a lack of reporting or observer coverage. alternatively, analyzing the overlap in suitable habitat for the target and non-target species can provide a spatial management tool to understand where bycatch interactions are likely to occur. potential bycatch hotspots based on suitable habitat were predicted for cusk brosme brosme incidentally caught in the gulf of maine american lobster homarus americanus fishery. data from multiple fisheries-independent surveys were combined in a delta-generalized linear mixed model to generate spatially explicit density estimates for use in an independent habitat suitability index. the habitat suitability indices for american lobster and cusk were then compared to predict potential bycatch hotspot locations. suitable habitat for american lobster has increased between 1980 and 2013 while suitable habitat for cusk decreased throughout most of the guff of maine, except for georges basin and the great south channel. the proportion of overlap in suitable habitat varied interannually but decreased slightly in the spring and remained relatively stable in the fall over the time series. as gulf of maine temperatures continue to increase, the interactions between american lobster and cusk are predicted to decline as cusk habitat continues to constrict. this framework can contribute to fisheries managers' understanding of changes in habitat overlap as climate conditions continue to change and alter where bycatch interactions could occur.",10.3354/meps13302,1
The Impacts Of Fish Body Size Changes On Stock Recovery: A Case Study Using An Australian Marine Ecosystem Model,"Many fished stocks show long-term reductions in adult body size. such changes could lead to new feeding interactions and alter stock productivity, introducing new levels of uncertainty in fisheries management. we use a marine ecosystem model parameterized for southeast australia to explore how reductions (up to 6% in 50 years) in size-at-age of fished species affect stock recovery after an implementation of a fishing moratorium. we show that reduction in body size can greatly elevate predation mortality and lower the post-fishing biomass of affected species. in our simulations, the recovery period after the fishing moratorium was characterized by two phases. in the initial readjustment phase, the ecosystem dynamics was largely determined by the rapid changes in the biomasses of recovering species and changes in body size had negligible effects. in contrast, fish body sizes had the major impact on the biomasses in the second, semi-equilibrium state and the final biomasses were generally not affected by the harvest rate during the fishing period. when reduced size-at-age elevated predation mortality in most age groups of a species (tiger flathead platycephalus richardsoni or silver warehou seriolella punctata in our simulations), the species' equilibrium biomass was considerably lower compared with the scenarios of no change in body size. for other species (pink ling genypterus blacodes and jackass morwong nemadactylus macropterus), a predation increase in some age groups was balanced by the decrease in others. the latter reduction in predation mortality occurred when major predators of species with reducing size-at-age were decreasing in size themselves, or when cannibalism was an important source of juvenile mortality (in blue grenadier macruronus novaezelandiae). we suggest that decreased size-at-age will be most detrimental to stock recovery when the main predators of the stock are not affected by the drivers causing changes in body size.",10.1093/icesjms/fsu185,1
"Assessing Ecosystem Threats From Global And Regional Change: Hierarchical Modeling Of Risk To Sagebrush Ecosystems From Climate Change, Land Use And Invasive Species In Nevada, Usa","Global change poses significant challenges for ecosystem conservation. at regional scales, climate change may lead to extensive shifts in species distributions and widespread extirpations or extinctions. at landscape scales, land use and invasive species disrupt ecosystem function and reduce species richness. however, a lack of spatially explicit models of risk to ecosystems makes it difficult for science to inform conservation planning and land management. here, i model risk to sagebrush (artemisia spp.) ecosystems in the state of nevada, usa from climate change, land use/land cover change, and species invasion. risk from climate change is based on an ensemble of 10 atmosphere-ocean general circulation model (aogcm) projections applied to two bioclimatic envelope models (mahalanobis distance and maxent). risk from land use is based on the distribution of roads, agriculture, and powerlines, and on the spatial relationships between land use and probability of cheatgrass bromus tectorum invasion in nevada. risk from land cover change is based on probability and extent of pinyon-juniper (pinus monophylla; juniperus spp.) woodland expansion. climate change is most likely to negatively impact sagebrush ecosystems at the edges of its current range, particularly in southern nevada, southern utah, and eastern washington. risk from land use and woodland expansion is pervasive throughout nevada, while cheatgrass invasion is most problematic in the northern part of the state. cumulatively, these changes pose major challenges for conservation of sagebrush and sagebrush obligate species. this type of comprehensive assessment of ecosystem risk provides managers with spatially explicit tools important for conservation planning.",10.1111/j.1600-0587.2009.05684.x,0
Using Shortened Spin-Ups To Speed Up Ocean Biogeochemical Model Optimization,"The performance of global ocean biogeochemical models can be quantified as the misfit between modeled tracer distributions and observations, which is sought to be minimized during parameter optimization. these models are computationally expensive due to the long spin-up time required to reach equilibrium, and therefore optimization is often laborious. to reduce the required computational time, we investigate whether optimization of a biogeochemical model with shorter spin-ups provides the same optimized parameters as one with a full-length, equilibrated spin-up over several millennia. we use the global ocean biogeochemical model mops with a range of lengths of model spin-up and calibrate the model against synthetic observations derived from previous model runs using a derivative-free optimization algorithm (dfo-ls). when initiating the biogeochemical model with tracer distributions that differ from the synthetic observations used for calibration, a minimum spin-up length of 2,000 years was required for successful optimization due to certain parameters which influence the transport of matter from the surface to the deeper ocean, where timescales are longer. however, preliminary results indicate that successful optimization may occur with an even shorter spin-up by a judicious choice of initial condition, here the synthetic observations used for calibration, suggesting a fruitful avenue for future research. global ocean biogeochemical models allow us to simulate ocean biological and chemical variables throughout the global ocean, and are necessary for climate change projections. they are very computationally expensive due to the required spin-up needed for the model to reach a steady state, and so any improvements to the model need to be sought in an efficient way. one way we investigate here is to first make the model less computationally expensive by using a shorter spin-up, and then we apply an efficient optimization algorithm to tune the model to observations. by shortening the spin-up from 3,000 to 2,000 years we show that we can still reach a successfully optimized model. preliminary results indicate that successful optimization may occur with an even shorter spin-up when the biogeochemical model is initialized from a more accurate state, which highlights a future avenue for research that may encourage more systematic tuning of computationally expensive ocean biogeochemical models. global ocean biogeochemical models are computationally expensive due to the long spin-up time required to reach equilibrium a shortened spin up of 2,000 years during parameter optimization can be successfully optimized how short a spin-up one can successfully optimize is influenced by the parameters being calibrated and the initial conditions of the model",10.1029/2023MS003941,0
